Throws,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Pitches,Balls,Strikes,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,CFraming,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,K-BB%,SIERA,kwERA,RS/9,E-F,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xERA,pb_o_CH,pb_s_CH,pb_c_CH,pb_o_CU,pb_s_CU,pb_c_CU,pb_o_FF,pb_s_FF,pb_c_FF,pb_o_SI,pb_s_SI,pb_c_SI,pb_o_SL,pb_s_SL,pb_c_SL,pb_o_KC,pb_s_KC,pb_c_KC,pb_o_FC,pb_s_FC,pb_c_FC,pb_o_FS,pb_s_FS,pb_c_FS,pb_overall,pb_stuff,pb_command,pb_xRV100,pb_ERA,sp_s_CH,sp_l_CH,sp_p_CH,sp_s_CU,sp_l_CU,sp_p_CU,sp_s_FF,sp_l_FF,sp_p_FF,sp_s_SI,sp_l_SI,sp_p_SI,sp_s_SL,sp_l_SL,sp_p_SL,sp_s_KC,sp_l_KC,sp_p_KC,sp_s_FC,sp_l_FC,sp_p_FC,sp_s_FS,sp_l_FS,sp_p_FS,sp_s_FO,sp_l_FO,sp_p_FO,sp_stuff,sp_location,sp_pitching,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TIP,PlayerNameRoute,PlayerName,positionDB,position,TeamName,TeamNameAbb,teamid,playerTeamId,playerid,EV90
R,116635.0,Walter Johnson,WAS,1918,30.0,30 - 30,1918,1918,23.0,13.0,1.2699386503067485,39.0,29.0,,29.0,8.0,3.0,,326.0,1261.0,241.0,71.0,46.0,2.0,70.0,,8.0,8.0,0.0,162.0,,,,,,,,,,,,4.47239263803681,1.9325153374233128,2.31428571,6.653374233128834,0.05521472392638037,0.2037193575655114,0.9539877300613497,0.23454367026496564,0.78431373,2.0330214871950676,,,,,,,,,0.18556701,,,,,,51.843650817871094,6.464485168457031,,10.882123947143555,1.2949362993240356,3.1227025985717773,4.417638778686523,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1467484754517,72.90240075221334,,0.12846947,0.0555115,0.07295797,,1.9133917670132718,,-0.7630828368883191,,,,,,,,,,,,,,153.90942276452623,61.75378146267365,249.23077605629777,80.17241801587251,58.92339966616845,82.6714317048514,75.12884451677634,87.69299344469457,112.41099622955637,163.7262903571894,65.6926440786156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.50769,130.0,326.0,Walter Johnson,Walter Johnson,P,P,WAS,WAS,8,,1006511,
R,112288.0,Eddie Cicotte,CHW,1918,34.0,34 - 34,1918,1918,12.0,19.0,2.774436090225564,38.0,30.0,,24.0,1.0,2.0,,266.0,1057.0,275.0,102.0,82.0,2.0,40.0,,2.0,2.0,0.0,104.0,,,,,,,,,,,,3.518796992481203,1.3533834586466165,2.6,9.30451127819549,0.06766917293233082,0.270935960591133,1.1842105263157894,0.30033003300330036,0.68427753,2.0188141898105023,,,,,,,,,0.13812677,,,,,,44.91327667236328,5.5736470222473145,,2.9419503211975098,-0.08495534211397171,-2.546741485595703,-2.631696939468384,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8914594661497,70.89228275054195,,0.09839167,0.03784295,0.06054872,,2.0623027317909672,,0.7556219004150617,,,,,,,,,,,,,,121.09312794505935,43.247546201571666,280.0000077027543,112.11832394975467,72.21439207207109,109.94862751417853,93.25944737359187,112.28970530584095,98.07340658841608,125.39402580894883,44.783578186405464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.14516,124.0,266.0,Eddie Cicotte,Eddie Cicotte,P,P,CHW,CHW,4,,1002236,
L,123677.0,Hippo Vaughn,CHC,1918,30.0,30 - 30,1918,1918,22.0,10.0,1.7359358277303267,35.0,33.0,,27.0,8.0,0.0,,290.1,1146.0,216.0,75.0,56.0,4.0,76.0,,7.0,4.0,2.0,148.0,,,,,,,,,,,,4.58783040185872,2.355912909062586,1.94736842,6.695752478388402,0.1239954162664519,0.20319849482596425,1.0057405986056653,0.2327113062568606,0.76346285,2.2465620911925384,,,,,,,,,0.19895288,,,,,,41.01380920410156,5.166374206542969,,8.597916603088379,0.9412941336631775,2.490248441696167,3.4315426349639893,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.04515426822501,81.45228056899147,,0.12914485,0.06631763,0.06282723,,2.0349607038248276,,-0.5106262634622116,,,,,,,,,,,,,,161.35329707125024,95.21009500792685,169.47077843251031,79.7063745953647,90.92005378428075,82.94068180954703,83.23401401322678,88.16395763099926,111.17771426941943,167.98634755549693,99.12407655787405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.21628,131.0,290.33331298828125,Hippo Vaughn,Hippo Vaughn,P,P,CHC,CHC,17,,1013384,
R,112743.0,Stan Coveleski,CLE,1918,28.0,28 - 28,1918,1918,22.0,13.0,1.8231511254019293,38.0,33.0,,25.0,2.0,1.0,,311.0,1254.0,261.0,90.0,63.0,2.0,76.0,,4.0,2.0,0.0,87.0,,,,,,,,,,,,2.517684887459807,2.1993569131832795,1.14473684,7.553054662379421,0.05787781350482315,0.2223168654173765,1.0836012861736335,0.23870967741935484,0.7421644,2.5251604412912942,,,,,,,,,0.13157895,,,,,,41.5625,5.058956623077393,,7.971330642700195,0.2978594899177551,2.6145145893096924,2.9123740196228027,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.111326927199606,85.01247771430708,,0.06937799,0.06060606,0.00877193,,2.6836242475007714,,-0.702009315889365,,,,,,,,,,,,,,86.64163884815001,70.28073906840616,123.27935560677948,91.01346692236969,61.765364280292324,90.21849359739385,85.33622601402055,89.25061227818382,106.36998537504871,88.41790280581051,71.72157970925632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.41085,129.0,311.0,Stan Coveleski,Stan Coveleski,P,P,CLE,CLE,5,,1002682,
L,112649.0,Wilbur Cooper,PIT,1918,26.0,26 - 26,1918,1918,19.0,14.0,2.1073172300249223,38.0,29.0,,26.0,2.0,3.0,,273.1,1078.0,219.0,86.0,64.0,2.0,65.0,,10.0,4.0,0.0,117.0,,,,,,,,,,,,3.852439311139311,2.140244061744062,1.8,7.210976146491531,0.06585366343827882,0.21834496510468593,1.0390244675817326,0.24547511312217193,0.71428571,2.2915356321805724,,,,,,,,,0.17068646,,,,,,36.03276062011719,4.491065502166748,,5.726114749908447,-0.15526296198368073,1.3903121948242188,1.2350492477416992,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.48285836962046,83.45719864973007,,0.10853432,0.06029685,0.04823748,,2.2100376836886437,,-0.1842184021556501,,,,,,,,,,,,,,135.4897043202352,86.49421618046325,156.64596277158108,85.83960768944559,48.287419019054376,89.12310246675305,85.98855133687579,92.99959602684704,104.01639467046317,141.17701322209288,90.12489649587788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.16931,126.0,273.33331298828125,Wilbur Cooper,Wilbur Cooper,P,P,PIT,PIT,27,,1002602,
L,123535.0,Lefty Tyler,CHC,1918,28.0,28 - 28,1918,1918,19.0,8.0,2.004950646500589,33.0,30.0,,22.0,6.0,1.0,,269.1,1066.0,218.0,72.0,60.0,1.0,67.0,,5.0,1.0,0.0,102.0,,,,,,,,,,,,3.4084160990510015,2.238861555258991,1.52238806,7.284654015618807,0.033415844108343154,0.2193158953722334,1.0581683967641997,0.24354657687991021,0.75537076,2.322162294789818,,,,,,,,,0.15947467,,,,,,35.84010314941406,4.483086585998535,,7.594306945800781,1.5330960750579834,1.5781241655349731,3.111220359802246,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.505210826733,84.11080401068985,,0.0956848,0.06285178,0.03283302,,2.394891157740724,,-0.3172116482892289,,,,,,,,,,,,,,119.87347552119556,90.47966950128912,132.48663511889643,86.7166705520591,24.502279479823848,89.51941257942828,87.57288239803685,92.26895946995823,109.99931964844778,124.4628837160318,93.94372547001015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.05598,131.0,269.33331298828125,Lefty Tyler,Lefty Tyler,P,P,CHC,CHC,17,,1013252,
R,119426.0,Guy Morton,CLE,1918,25.0,25 - 25,1918,1918,14.0,8.0,2.6413039097489217,30.0,28.0,,13.0,1.0,0.0,,214.2,892.0,189.0,87.0,63.0,1.0,77.0,,3.0,4.0,0.0,123.0,,,,,,,,,,,,5.156831442843132,3.228260334137571,1.5974026,7.923911729246765,0.04192545888490352,0.23275862068965517,1.2391302292649262,0.27325581395348836,0.68011958,2.2619491958437896,,,,,,,,,0.22533632,,,,,,34.728267669677734,4.2852911949157715,,2.391616106033325,-1.5712491273880005,-0.3224259614944458,-1.8936750888824463,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.43300971580462,75.90099445276962,,0.13789238,0.08632287,0.05156951,,2.1700533246780194,,0.3793547139051321,,,,,,,,,,,,,,177.4631645512992,103.15948304180556,172.02797671707683,95.4822532475073,44.74151810224637,94.45586636445339,97.58450700880113,102.16698781372864,97.47747262160748,175.73519640494456,102.15500776185071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.66408,129.0,214.6667022705078,Guy Morton,Guy Morton Sr.,P,P,CLE,CLE,5,,1009232,
R,115162.0,Burleigh Grimes,BRO,1918,24.0,24 - 24,1918,1918,19.0,9.0,2.1333333333333333,40.0,30.0,,19.0,7.0,1.0,,270.0,1078.0,210.0,94.0,64.0,3.0,76.0,,4.0,11.0,2.0,113.0,,,,,,,,,,,,3.7666666666666666,2.533333333333333,1.48684211,7.0,0.1,0.21042084168336672,1.0592592592592593,0.23469387755102042,0.68579426,2.425636801896272,,,,,,,,,0.17810761,,,,,,31.160785675048828,3.8340463638305664,,4.392468452453613,-1.6112902164459229,2.1697123050689697,0.5584219694137573,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.94677144010038,88.8337367892243,,0.10482375,0.07050093,0.03432282,,2.3770135649502393,,-0.29230346856293865,,,,,,,,,,,,,,132.47309346675328,102.3802307910386,129.3932294594718,83.32814332196527,73.32533453406376,85.88866807849578,87.66316100896911,88.91506566433999,99.86738516082745,136.3504488120202,105.37680111391636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.14286,126.0,270.0,Burleigh Grimes,Burleigh Grimes,P,P,BRO,BRO,22,,1005061,
R,120441.0,Scott Perry,PHA,1918,27.0,27 - 27,1918,1918,20.0,19.0,1.9769309134024946,44.0,36.0,,30.0,3.0,2.0,,332.1,1342.0,295.0,97.0,73.0,1.0,111.0,,2.0,4.0,0.0,81.0,,,,,,,,,,,,2.193580876515097,3.006018238187355,0.72972973,7.988967389777205,0.02708124538907527,0.24003254678600489,1.22166506977384,0.2563208369659983,0.76487949,2.801055686036009,,,,,,,,,0.1438152,,,,,,31.99559783935547,3.7825236320495605,,8.007908821105957,3.1526479721069336,1.0727373361587524,4.2253851890563965,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.08162620932168,96.83881215269702,,0.06035768,0.08271237,-0.02235469,,3.0571437392256127,,-0.8241247726335146,,,,,,,,,,,,,,75.48817686989568,96.05770767198352,78.586280669588,96.26616670669242,28.90024493549382,97.40770114189779,96.20908339430437,95.83520821689572,109.62560325159811,76.922076320382,97.88232012070938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.55641,130.0,332.33331298828125,Scott Perry,Scott Perry,P,P,PHA,PHA,10,,1010216,
R,118494.0,Carl Mays,BOS,1918,26.0,26 - 26,1918,1918,21.0,13.0,2.209091062309339,35.0,33.0,,30.0,8.0,0.0,,293.1,1162.0,230.0,94.0,72.0,2.0,81.0,,11.0,6.0,0.0,114.0,,,,,,,,,,,,3.49772751532312,2.485227445098006,1.40740741,7.056818671265943,0.061363640619703855,0.21495327102803738,1.060227346262661,0.2389937106918239,0.71428571,2.4816132503698696,,,,,,,,,0.16953528,,,,,,31.29376220703125,3.7261085510253906,,5.160146713256836,-0.983881413936615,2.417919397354126,1.4340379238128662,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.00788592351105,91.73485659236708,,0.09810671,0.0697074,0.02839931,,2.4480956670134084,,-0.27252218806053063,,,,,,,,,,,,,,120.36805943480118,79.41576946770866,151.56695569265904,85.03387853307186,65.48532826184089,87.23027049510613,83.49547162905273,89.35680882517468,102.37430016066594,125.03085958837441,82.49216195784041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.32804,126.0,293.33331298828125,Carl Mays,Carl Mays,P,P,BOS,BOS,3,,1008313,
