Bats,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xwOBA,xAVG,xSLG,XBR,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,AsCReview,AsCOverturned,AsCCorrect%,wAsCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TPA,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId,Pos,EV90
R,121222,Cal Ripken,BAL,1984,23.0,23 - 23,1984,1984,162.0,641.0,716.0,195.0,124.0,37.0,7.0,27.0,103.0,86.0,71.0,1.0,89.0,2.0,2.0,0.0,16.0,2.0,1.0,0.304212168,,,,,,,,,,,0.099162011,0.124301675,0.797752808,0.374301675,0.510140405,0.88444208,0.205928237,0.318785578,,,,,,,,,0.26117318,0.39271116456785404,41.41580546915429,121.34352041304008,38.948326985238964,23.0,20.737062260508537,8.88475227355957,1.7034846628084779,,31.88475227355957,38.88580817985712,93.21110737673371,9.756146980639974,9.756146980639974,,-0.06251880538184196,4.012856951353935,146.47087439917087,-0.06251880538184196,3.730778217315674,-11.053875923156738,14.78465461730957,44.3489990234375,4.751092433929443,0.9761066436767578,,0.0,3.285245180130005,0.5368558592223489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.39148024849517,120.1048154216831,93.31220267901263,114.72029241434191,128.24623685562827,153.50924653372857,111.77506319694197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.41975309,162.0,716.0,Cal Ripken,Cal Ripken Jr.,SS,SS,1010978,BAL,BAL,2,,0.0,
R,121665,Ryne Sandberg,CHC,1984,24.0,24 - 24,1984,1984,156.0,636.0,700.0,200.0,126.0,36.0,19.0,19.0,114.0,84.0,52.0,3.0,101.0,3.0,4.0,5.0,7.0,32.0,7.0,0.314465408,,,,,,,,,,,0.074285714,0.144285714,0.514851485,0.366906474,0.520440251,0.887346725,0.205974843,0.348076923,,,,,,,,,0.24571429,0.39002539088271254,39.04599179444332,117.18761254963893,32.75767718372364,12.0,20.273664221167564,4.676508903503418,2.4792904499918222,,16.676508903503418,36.350449911031966,75.77991348569478,7.973179161099923,7.973179161099923,,3.592772727308329,7.858256958071907,141.59093108696885,3.592772727308329,4.292198657989502,-10.829290390014648,15.121481895446777,41.46799850463867,4.235150337219238,0.9829544425010681,,0.0,4.124234199523926,0.24239610642215847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.43779542302724,85.37821796334637,105.88147562729861,111.76679585351923,135.93351587645114,172.25458180345422,119.88927695063076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.34782609,161.0,700.0,Ryne Sandberg,Ryne Sandberg,2B,2B,1011411,CHC,CHC,17,,0.0,
R,121836,Mike Schmidt,PHI,1984,34.0,34 - 34,1984,1984,151.0,528.0,632.0,146.0,84.0,23.0,3.0,36.0,93.0,106.0,92.0,14.0,116.0,4.0,8.0,0.0,15.0,5.0,7.0,0.276515151,,,,,,,,,,,0.14556962,0.183544303,0.793103448,0.382911392,0.535984848,0.91889624,0.259469697,0.286458333,,,,,,,,,0.38607595,0.39820741854825065,39.225547098424215,109.77626755168654,38.31573798587539,10.0,18.30422255396843,0.7805212140083313,2.2384450919926167,,10.780521214008331,36.51283630418817,67.83602516415755,7.141961300881739,7.141961300881739,,-1.8029016816872172,3.177160338030963,153.88199914453148,-1.8029016816872172,3.2060227394104004,-10.695298194885254,13.901320457458496,29.394001007080078,3.1678414344787598,1.044081211090088,2.458240032196045,5.0,4.097269535064697,-1.026605390018828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.02382518494844,167.30639144427562,134.6906849324252,116.64220288369968,139.99360100444125,216.9917621804134,98.6657837694486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.90123457,162.0,632.0,Mike Schmidt,Mike Schmidt,3B,3B,1011586,PHI,PHI,26,,0.0,
R,112061,Gary Carter,MON,1984,30.0,30 - 30,1984,1984,159.0,596.0,669.0,175.0,115.0,32.0,1.0,27.0,75.0,106.0,64.0,9.0,57.0,6.0,3.0,0.0,8.0,2.0,2.0,0.293624161,,,,,,,,,,,0.095665171,0.085201793,1.122807017,0.366218236,0.486577181,0.852795417,0.19295302,0.28737864,,,,,,,,,0.22122571,0.37666189833120867,30.448622021021848,105.12968528563023,31.473681750836377,8.0,19.37583051994443,6.886144638061523,2.3694933014921844,,14.886144638061523,31.02650622058526,67.6579746800834,7.135445265023725,7.135445265023725,,-0.44717553025111556,1.8378477790659866,141.81239220797352,-0.44717553025111556,4.4594526290893555,-11.260191917419434,15.719643592834473,42.9109992980957,5.207954406738281,1.1050807237625122,3.283599853515625,2.0,4.190027236938477,-0.1546182996564287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.52203574892413,109.95010186129196,62.52380307680109,111.55714527088973,127.08883840458824,161.36456901104927,98.98276812983553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.1552795,161.0,669.0,Gary Carter,Gary Carter,C,C,1002015,MON,MON,24,,0.0,
L,119432,Lloyd Moseby,TOR,1984,24.0,24 - 24,1984,1984,158.0,592.0,688.0,166.0,105.0,28.0,15.0,18.0,97.0,92.0,78.0,9.0,122.0,8.0,7.0,3.0,8.0,39.0,9.0,0.280405405,,,,,,,,,,,0.113372093,0.177325581,0.639344262,0.367883211,0.469594594,0.837477805,0.189189189,0.322440087,,,,,,,,,0.31686047,0.3691176278351327,27.32586998744842,104.1279201011264,20.759505699118343,20.0,19.926115691661835,0.0,1.636867944151163,,20.0,24.967104202157095,66.53008783797009,6.941314656674388,6.941314656674388,,4.207598503038753,7.67631494537674,125.77707465433849,4.207598503038753,2.989828586578369,-11.36370849609375,14.353536605834961,30.702001571655273,2.998091220855713,1.0089398622512817,4.036099910736084,4.0,2.6075692176818848,0.35576754642124353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.36127728010139,137.3160363169207,133.11679472095344,112.75308757367179,118.0532632545477,141.03111976682038,113.05643538758979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.2208589,163.0,688.0,Lloyd Moseby,Lloyd Moseby,OF,OF,1009238,TOR,TOR,14,,0.0,
R,123437,Alan Trammell,DET,1984,26.0,26 - 26,1984,1984,139.0,555.0,626.0,174.0,121.0,34.0,5.0,14.0,85.0,69.0,60.0,2.0,63.0,3.0,2.0,6.0,8.0,19.0,13.0,0.313513513,,,,,,,,,,,0.095846645,0.100638977,0.952380952,0.382258064,0.468468468,0.850726532,0.154954955,0.333333333,,,,,,,,,0.21884984,0.3807812014829765,30.472580531383187,100.3535156638867,28.48962596967283,15.0,18.130448289215565,3.7530860900878906,1.4893594956956804,,18.75308609008789,27.129759703825016,65.50265357882415,6.863185713274163,6.863185713274163,,-1.3598662658478133,4.95900923878156,138.8792137394597,-1.3598662658478133,3.6422860622406006,-9.298352241516113,12.940637588500977,36.2140007019043,3.8313395977020264,0.9491087794303894,1.2917333841323853,3.0,2.8679893016815186,0.9695961692131139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.91959674333552,116.08925122053631,75.54881798038916,117.15885823866599,117.77016193516627,115.51120300572389,116.87590949212358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.86419753,162.0,626.0,Alan Trammell,Alan Trammell,SS,SS,1013157,DET,DET,6,,0.16176471,
B,119579,Eddie Murray,BAL,1984,28.0,28 - 28,1984,1984,162.0,588.0,705.0,180.0,122.0,26.0,3.0,29.0,97.0,110.0,107.0,25.0,87.0,2.0,8.0,0.0,9.0,10.0,2.0,0.306122448,,,,,,,,,,,0.151773049,0.123404255,1.229885057,0.409929078,0.508503401,0.918432479,0.202380953,0.314583333,,,,,,,,,0.31631206,0.398301940630464,43.80753999806085,122.50731518722215,41.37796970314422,10.0,20.41847610846162,-10.017694473266602,1.677313809050247,,-0.017694473266601562,42.51998001805815,64.59807546230341,6.798103615182509,6.798103615182509,,1.1420103149139322,4.183471922555798,150.14009118834576,1.1420103149139322,7.273260116577148,-10.270998001098633,17.54425811767578,61.55099868774414,6.790409564971924,1.081088662147522,,0.0,5.072840213775635,1.6548782160238469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.11607334527456,183.8271920093579,92.6385171721343,125.6397896090141,127.83470387243392,150.86492294792936,110.30163957661736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.35185185,162.0,705.0,Eddie Murray,Eddie Murray,1B,1B,1009386,BAL,BAL,2,,0.01851852,
B,120891,Tim Raines,MON,1984,24.0,24 - 24,1984,1984,160.0,622.0,718.0,192.0,137.0,38.0,9.0,8.0,106.0,60.0,87.0,7.0,69.0,2.0,4.0,3.0,7.0,75.0,10.0,0.308681672,,,,,,,,,,,0.121169916,0.096100278,1.260869565,0.393006993,0.437299035,0.830306028,0.128617363,0.335154826,,,,,,,,,0.22841226,0.37229999874607994,30.27278626989178,110.42376298736386,31.37292511295132,-3.0,20.79498701542616,0.006858710199594498,2.543043632991612,,-2.9931412898004055,42.37532005892322,62.72020941754059,6.67923105508521,6.67923105508521,,11.0023949459719,8.043396370042835,138.83418120688373,11.0023949459719,5.952650547027588,-11.028590202331543,16.981239318847656,44.03269958496094,4.876444339752197,1.07418954372406,1.0388000011444092,1.0,4.8143439292907715,0.7271832451319176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.24106198407043,139.26327071243293,70.52146023849333,119.71751786433855,114.21790532671399,107.56133979054943,115.4384766715904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.45962733,161.0,718.0,Tim Raines,Tim Raines Sr.,OF,OF,1406,MON,MON,24,,0.0,
R,110815,Buddy Bell,TEX,1984,32.0,32 - 32,1984,1984,148.0,553.0,630.0,174.0,122.0,36.0,5.0,11.0,88.0,83.0,63.0,8.0,54.0,3.0,9.0,2.0,21.0,2.0,1.0,0.314647377,,,,,,,,,,,0.1,0.085714285,1.166666666,0.382165605,0.45750452,0.839670125,0.142857143,0.327967806,,,,,,,,,0.2031746,0.371435107338813,26.143873477007638,96.47133215668369,23.095939898516427,19.0,18.246297799050808,0.8758572936058044,1.4988761697895825,,19.875857293605804,23.03918865509555,62.660219917541745,6.536545826937512,6.536545826937512,,-0.05675124342087656,3.6971435772584735,131.31844210032557,-0.05675124342087656,3.4602837562561035,-10.18286418914795,13.643147468566895,33.77799987792969,3.4802186489105225,1.053166389465332,3.7922000885009766,1.0,2.9369826316833496,0.34861762186519796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.34968554031119,121.11978590438541,64.34497953793988,117.1305203384513,115.01389119421057,106.4928865675236,114.99460694615362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.91304348,161.0,630.0,Buddy Bell,Buddy Bell,3B,3B,1000799,TEX,TEX,13,,0.0,
L,115270,Tony Gwynn,SDP,1984,24.0,24 - 24,1984,1984,158.0,606.0,675.0,213.0,177.0,21.0,10.0,5.0,88.0,71.0,59.0,13.0,23.0,2.0,2.0,6.0,15.0,33.0,18.0,0.351485148,,,,,,,,,,,0.087407407,0.034074074,2.565217391,0.409566517,0.443894389,0.853460906,0.092409241,0.358620689,,,,,,,,,0.12888889,0.37965841127968414,32.275579075824176,107.62642766119139,33.692192796181594,12.0,19.549604784697294,-6.879268169403076,2.3907443624921143,,5.120731830596924,33.157495362684536,60.21857634047086,6.320625579406514,6.320625579406514,,-0.5346974334970582,6.067296561112721,144.36179274756992,-0.5346974334970582,7.388265609741211,-9.500887870788574,16.8891544342041,55.39099884033203,6.008548259735107,1.0199917554855347,1.0532000064849854,2.0,4.117237091064453,3.126219113367574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.4983439611153,100.45927062714814,25.004646237906613,124.76186858991187,115.94054237476547,77.28087047615624,123.52090087784137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.16666667,162.0,675.0,Tony Gwynn,Tony Gwynn,OF,OF,1005166,SDP,SDP,29,,0.0,
