Bats,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,WAROld,Dollars,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,UBR,GDPRuns,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xwOBA,xAVG,xSLG,XBR,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,AsCReview,AsCOverturned,AsCCorrect%,wAsCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TPA,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId,Pos,EV90
L,111188,Barry Bonds,SFG,1998,33.0,33 - 33,1998,1998,156.0,552.0,697.0,167.0,79.0,44.0,7.0,37.0,120.0,122.0,130.0,29.0,92.0,8.0,6.0,1.0,15.0,28.0,12.0,0.302536231,,,,,,,,,,,0.186513629,0.131994261,1.413043478,0.43821839,0.608695652,1.046914042,0.306159421,0.303030303,,,,,,,,,0.37159254,0.43399184727775997,59.79642609949943,146.05089876498815,61.6018486812317,10.0,21.61101647466421,-6.874124050140381,0.3620125882443972,,3.125875949859619,61.99033393909477,87.089238951863,8.53411702705008,8.53411702705008,,0.3884852578630671,6.203331759705922,169.8618481326391,0.3884852578630671,6.578907489776611,-11.53499984741211,18.113908767700195,68.49099731445312,6.91817045211792,1.1199500560760498,1.7032999992370605,2.0,6.179314136505127,-0.3050276412420976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.51560604858228,207.0885160435168,80.08958430586411,129.08478473098793,143.46180933424205,197.0045746172191,100.68774871452324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.27607362,163.0,697.0,Barry Bonds,Barry Bonds,OF,OF,1109,SFG,SFG,30,,0.0,
R,118743,Mark McGwire,STL,1998,34.0,34 - 34,1998,1998,155.0,509.0,681.0,152.0,61.0,21.0,0.0,70.0,130.0,147.0,162.0,28.0,155.0,6.0,4.0,0.0,8.0,1.0,0.0,0.298624754,,,,,,,,,,,0.237885462,0.227606461,1.04516129,0.469897209,0.752455795,1.222353004,0.453831041,0.284722222,,,,,,,,,0.56828194,0.4924731135916016,91.70353207928147,175.9779881556055,90.43487285268512,-16.0,21.114924274384975,-9.096912384033203,0.353702399705071,,-25.096912384033203,90.60721095600766,86.9789252460645,8.464378435596712,8.464378435596712,,0.17233810332254507,1.613315189630388,204.97065888872265,0.17233810332254507,9.326757431030273,-9.291742324829102,18.618499755859375,92.54100036621094,9.178524017333984,0.9978286027908325,0.5618000030517578,3.0,9.270720481872559,0.07633311525245112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0608969588796,264.12733256027315,138.10378351842792,138.41632723231226,177.34424328487813,292.02691489377594,94.60453049864357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.17791411,163.0,681.0,Mark McGwire,Mark McGwire,1B,1B,1008559,STL,STL,28,,0.0,
L,119976,John Olerud,NYM,1998,29.0,29 - 29,1998,1998,160.0,557.0,665.0,197.0,135.0,36.0,4.0,22.0,91.0,93.0,96.0,11.0,73.0,4.0,7.0,1.0,15.0,2.0,2.0,0.35368043,,,,,,,,,,,0.144360902,0.109774436,1.315068493,0.447289156,0.551166965,0.998456121,0.197486535,0.373134328,,,,,,,,,0.28721805,0.4295479567638765,54.58165318202126,136.8760926691805,56.195472296885136,15.0,20.61883207410574,-9.167832374572754,0.3453922111657448,,5.832167625427246,55.70037144385177,82.4967633545505,8.09662127911044,8.09662127911044,,-0.4951008530333638,2.950645428377536,166.79728074685337,-0.4951008530333638,6.395836353302002,-9.709403991699219,16.105239868164062,57.992000579833984,6.030742645263672,1.0509394407272339,2.4380667209625244,6.0,6.198101997375488,-0.11227430317820719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.53653629331154,160.2857932161277,66.60735762330367,131.75673529987017,129.9030308239541,127.07677161534593,123.98118301200553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.10493827,162.0,665.0,John Olerud,John Olerud,1B,1B,1093,NYM,NYM,25,,0.0,
R,121347,Alex Rodriguez,SEA,1998,22.0,22 - 22,1998,1998,161.0,686.0,748.0,213.0,131.0,35.0,5.0,42.0,123.0,124.0,45.0,0.0,121.0,10.0,4.0,3.0,12.0,46.0,13.0,0.310495626,,,,,,,,,,,0.060160427,0.161764705,0.371900826,0.359731543,0.559766763,0.919498306,0.249271137,0.324478178,,,,,,,,,0.27807487,0.3937078716770915,38.992089890744865,131.55786543419617,34.2265269689824,8.0,23.192310363054276,8.468085289001465,2.6953245382755995,,16.468085289001465,37.783150689604554,80.1388708799359,7.850305630181054,7.850305630181054,,3.556623720622156,6.708678200508815,135.3019545428198,3.556623720622156,4.510244846343994,-12.171555519104004,16.681800842285156,39.9474983215332,3.909810781478882,0.9741864204406738,,0.0,4.003129482269287,0.6266259235839193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.235205775851,68.45809334666664,99.21282594285165,105.70282871211948,129.4468904812484,155.18741112284675,107.39436992767828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.64596273,161.0,748.0,Alex Rodriguez,Alex Rodriguez,3B/SS,3B/SS,1274,SEA,SEA,11,-1.0,0.00621118,
R,114596,Nomar Garciaparra,BOS,1998,24.0,24 - 24,1998,1998,143.0,604.0,652.0,195.0,115.0,37.0,8.0,35.0,111.0,122.0,33.0,1.0,62.0,8.0,7.0,0.0,20.0,12.0,6.0,0.322847682,,,,,,,,,,,0.050613496,0.095092024,0.532258064,0.36196319,0.584437086,0.946400276,0.261589404,0.311284046,,,,,,,,,0.1993865,0.40154100508184476,38.25551250054241,118.94118850900531,32.85568358971477,11.0,20.21575716137886,7.7489495277404785,2.349400533363223,,18.74894952774048,32.6415313078146,73.95563853029716,7.252806210683953,7.252806210683953,,-0.21415228190016933,5.811343094168258,138.87768783472978,-0.21415228190016933,2.4521396160125732,-12.183001518249512,14.63514232635498,32.85200119018555,3.10548996925354,1.0453569889068604,,0.0,2.685626983642578,-0.33988324056319374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.77968093349729,57.59439562769624,58.32142694950343,106.35857159921716,135.15193910257574,162.85632934682067,103.02743375460032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.02469136,162.0,652.0,Nomar Garciaparra,Nomar Garciaparra,SS,SS,190,BOS,BOS,3,-1.0,0.0,
R,110839,Albert Belle,CHW,1998,31.0,31 - 31,1998,1998,163.0,609.0,706.0,200.0,101.0,48.0,2.0,49.0,113.0,152.0,81.0,10.0,84.0,1.0,15.0,0.0,17.0,6.0,4.0,0.328407224,,,,,,,,,,,0.114730878,0.118980169,0.964285714,0.399433427,0.655172413,1.05460584,0.326765189,0.307535641,,,,,,,,,0.30311615,0.43658526789868013,62.0985555080161,149.46678750491,59.47452864324902,-3.0,21.89006833732128,-7.458846569061279,2.543982786126435,,-10.45884656906128,58.922172825759,72.89737738014543,7.117633524508681,7.117633524508681,,-0.5523558174900245,3.2991615361103137,164.99258701421246,-0.5523558174900245,3.905214309692383,-11.839994430541992,15.745207786560059,55.04399871826172,4.951297760009766,0.9755547642707825,,0.0,5.490988731384277,-1.487918424396958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.82510563905974,130.555209587675,72.97240023803755,117.36875438825749,151.50958791732734,203.43247251276318,101.78680304195883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.33128834,163.0,706.0,Albert Belle,Albert Belle,OF,OF,1000802,CHW,CHW,4,,0.02453988,
B,116706,Chipper Jones,ATL,1998,26.0,26 - 26,1998,1998,160.0,601.0,707.0,188.0,120.0,29.0,5.0,34.0,123.0,107.0,96.0,1.0,93.0,1.0,8.0,1.0,17.0,16.0,6.0,0.31281198,,,,,,,,,,,0.135785007,0.131541725,1.032258064,0.403682719,0.547420965,0.951103684,0.234608985,0.319502074,,,,,,,,,0.31541726,0.4096219791588208,46.25677563223101,133.7487586659477,45.242933533816114,3.0,21.921074099838734,1.4399889707565308,0.36720645608147606,,4.439988970756531,45.820386358965635,72.54865588564238,7.097157679084883,7.097157679084883,,0.5774528251495212,5.468897703092817,150.5836828264216,0.5774528251495212,5.732815265655518,-9.459854125976562,15.192669868469238,49.803001403808594,5.0930633544921875,0.8509937524795532,0.0,1.0,5.737024784088135,0.9995878513768472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.3372379983044,150.7638650931431,79.81500100315947,118.9117072009116,129.02014635451476,150.96397537053917,106.16081699486341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.36419753,162.0,707.0,Chipper Jones,Chipper Jones Jr.,3B,3B,97,ATL,ATL,16,-2.0,0.0,
R,122544,Sammy Sosa,CHC,1998,29.0,29 - 29,1998,1998,159.0,643.0,722.0,198.0,112.0,20.0,0.0,66.0,134.0,158.0,73.0,14.0,171.0,1.0,5.0,0.0,20.0,18.0,9.0,0.30793157,,,,,,,,,,,0.101108033,0.236842105,0.426900584,0.376731301,0.64696734,1.023698641,0.33903577,0.321167883,,,,,,,,,0.42936288,0.42506677872043547,56.55645992658134,145.90470851263996,54.11521191201206,3.0,22.386160537600517,-7.019317626953125,0.37499725783709437,,-4.019317626953125,53.802309583337376,72.54414975182186,7.096717283771544,7.096717283771544,,-0.3129023286746815,3.8628083916428997,159.24630482509502,-0.3129023286746815,6.092502593994141,-12.421241760253906,18.513744354248047,67.04100036621094,6.653891086578369,1.029807448387146,,0.0,7.085543155670166,-1.169386107538461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.52217509790236,112.26156837068955,143.70765510460961,110.97270219766453,152.4819585479177,218.15953737667715,106.71431463631345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.42944785,163.0,722.0,Sammy Sosa,Sammy Sosa,OF,OF,302,CHC,CHC,17,,0.0,
R,116662,Andruw Jones,ATL,1998,21.0,21 - 21,1998,1998,159.0,582.0,631.0,158.0,86.0,33.0,8.0,31.0,89.0,90.0,40.0,8.0,129.0,4.0,4.0,1.0,10.0,27.0,4.0,0.271477663,,,,,,,,,,,0.063391442,0.2044374,0.310077519,0.32063492,0.515463917,0.836098837,0.243986254,0.298122065,,,,,,,,,0.31695721,0.35262869197839325,11.232609373373872,89.31951360855805,10.327751715524084,35.0,19.564636148512363,2.3536858558654785,0.32773306051967666,,37.35368585586548,13.982414651576857,71.22846971647438,7.0406956180394555,7.0406956180394555,,3.654662936052773,7.497499765173281,112.93765399852218,3.654662936052773,1.4190820455551147,-9.59681224822998,11.015893936157227,15.478100776672363,1.4863616228103638,0.8606822490692139,0.659600019454956,3.0,2.5647335052490234,-0.9159461077050597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.96468009842359,70.38434523001355,124.04559303204601,94.44854567933018,121.48827732933366,156.9979719216897,99.0568905809224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3.89506173,162.0,631.0,Andruw Jones,Andruw Jones,OF,OF,96,ATL,ATL,16,-1.0,0.0,
R,121409,Scott Rolen,PHI,1998,23.0,23 - 23,1998,1998,160.0,601.0,711.0,174.0,94.0,45.0,4.0,31.0,120.0,110.0,93.0,6.0,141.0,11.0,6.0,0.0,10.0,14.0,7.0,0.28951747,,,,,,,,,,,0.130801687,0.198312236,0.659574468,0.390998593,0.532445923,0.923444516,0.242928453,0.328735632,,,,,,,,,0.37271449,0.396696778053933,38.839154044723195,126.82614122573105,35.98125859591929,12.0,22.045097149908543,1.4598757028579712,0.3692840032163076,,13.459875702857971,35.72987749483256,71.60413435081537,7.025255633610146,7.025255633610146,,-0.2513811010867357,5.17506205859284,140.0023819857353,-0.2513811010867357,4.083535671234131,-12.983006477355957,17.06654167175293,42.816001892089844,4.049009799957275,1.1143286228179932,3.4363999366760254,1.0,3.13137149810791,0.5331988876974876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.67382634148781,145.23081987117715,120.32905388217159,115.17537912437714,125.49071976321677,156.31730811799548,109.22884734839862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.38888889,162.0,711.0,Scott Rolen,Scott Rolen,3B,3B,970,PHI,PHI,26,-1.0,0.0,
