Throws,xMLBAMID,Name,Team,Season,Age,AgeR,SeasonMin,SeasonMax,W,L,ERA,G,GS,QS,CG,ShO,SV,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Pitches,Balls,Strikes,RS,IFH,BU,BUH,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,CFraming,Starting,Start-IP,Relieving,Relief-IP,RAR,WAR,Dollars,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,tERA,xFIP,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,Games,WPA/LI,Clutch,FB%1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,C+SwStr%,HLD,SD,MD,ERA-,FIP-,xFIP-,K%,BB%,K-BB%,SIERA,kwERA,RS/9,E-F,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,LD%+,GB%+,FB%+,HRFB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,xERA,pb_o_CH,pb_s_CH,pb_c_CH,pb_o_CU,pb_s_CU,pb_c_CU,pb_o_FF,pb_s_FF,pb_c_FF,pb_o_SI,pb_s_SI,pb_c_SI,pb_o_SL,pb_s_SL,pb_c_SL,pb_o_KC,pb_s_KC,pb_c_KC,pb_o_FC,pb_s_FC,pb_c_FC,pb_o_FS,pb_s_FS,pb_c_FS,pb_overall,pb_stuff,pb_command,pb_xRV100,pb_ERA,sp_s_CH,sp_l_CH,sp_p_CH,sp_s_CU,sp_l_CU,sp_p_CU,sp_s_FF,sp_l_FF,sp_p_FF,sp_s_SI,sp_l_SI,sp_p_SI,sp_s_SL,sp_l_SL,sp_p_SL,sp_s_KC,sp_l_KC,sp_p_KC,sp_s_FC,sp_l_FC,sp_p_FC,sp_s_FS,sp_l_FS,sp_p_FS,sp_s_FO,sp_l_FO,sp_p_FO,sp_stuff,sp_location,sp_pitching,PPTV,CPTV,BPTV,DSV,DGV,BTV,rPPTV,rCPTV,rBPTV,rDSV,rDGV,rBTV,EBV,ESV,rFTeamV,rBTeamV,rTV,BReview,BOverturned,BCorrect%,wBReview,PReview,POverturned,PCorrect%,wPReview,CReview,COverturned,CCorrect%,wCReview,pfxFA%,pfxFT%,pfxFC%,pfxFS%,pfxFO%,pfxSI%,pfxSL%,pfxCU%,pfxKC%,pfxEP%,pfxCH%,pfxSC%,pfxKN%,pfxUN%,pfxSLO%,pfxST%,pfxCUO%,pfxCV%,pfxvFA,pfxvFT,pfxvFC,pfxvFS,pfxvFO,pfxvSI,pfxvSL,pfxvCU,pfxvKC,pfxvEP,pfxvCH,pfxvSC,pfxvKN,pfxvSLO,pfxvST,pfxvCUO,pfxvCV,pfxFA-X,pfxFT-X,pfxFC-X,pfxFS-X,pfxFO-X,pfxSI-X,pfxSL-X,pfxCU-X,pfxKC-X,pfxEP-X,pfxCH-X,pfxSC-X,pfxKN-X,pfxSLO-X,pfxST-X,pfxCUO-X,pfxCV-X,pfxFA-Z,pfxFT-Z,pfxFC-Z,pfxFS-Z,pfxFO-Z,pfxSI-Z,pfxSL-Z,pfxCU-Z,pfxKC-Z,pfxEP-Z,pfxCH-Z,pfxSC-Z,pfxKN-Z,pfxSLO-Z,pfxST-Z,pfxCUO-Z,pfxCV-Z,pfxwFA,pfxwFT,pfxwFC,pfxwFS,pfxwFO,pfxwSI,pfxwSL,pfxwCU,pfxwKC,pfxwEP,pfxwCH,pfxwSC,pfxwKN,pfxwSLO,pfxwST,pfxwCUO,pfxwCV,pfxwFA/C,pfxwFT/C,pfxwFC/C,pfxwFS/C,pfxwFO/C,pfxwSI/C,pfxwSL/C,pfxwCU/C,pfxwKC/C,pfxwEP/C,pfxwCH/C,pfxwSC/C,pfxwKN/C,pfxwSLO/C,pfxwST/C,pfxwCUO/C,pfxwCV/C,pfxaaFA,pfxaaFT,pfxaaFC,pfxaaFS,pfxaaFO,pfxaaSI,pfxaaSL,pfxaaCU,pfxaaKC,pfxaaEP,pfxaaCH,pfxaaSC,pfxaaKN,pfxaaSLO,pfxaaST,pfxaaCUO,pfxaaCV,pfxspFA,pfxspFT,pfxspFC,pfxspFS,pfxspFO,pfxspSI,pfxspSL,pfxspCU,pfxspKC,pfxspEP,pfxspCH,pfxspSC,pfxspKN,pfxspSLO,pfxspST,pfxspCUO,pfxspCV,pfxO-Swing%,pfxZ-Swing%,pfxSwing%,pfxO-Contact%,pfxZ-Contact%,pfxContact%,pfxZone%,pfxPace,AvgBatSpeed,FastSwing%,SwingLength,SquaredUpContact%,SquaredUpSwing%,BlastContact%,BlastSwing%,Swords,CompetitiveSwings,Tilt,AttackAngle,AttackDirection,IdealAttackAngle%,DepthInBox,DistanceOffPlate,scH-Swing%,scH-Contact%,scH-Zone%,scS-Swing%,scS-Contact%,scS-Zone%,scC-Swing%,scC-Contact%,scC-Zone%,scW-Swing%,scW-Contact%,scW-Zone%,scSI-Swing%,scSI-Contact%,scSI-Zone%,scSO-Swing%,scSO-Contact%,scSO-Zone%,scO-Swing%,scO-Contact%,scO-Zone%,scZ-Swing%,scZ-Contact%,scZ-Zone%,piCH%,piCS%,piCU%,piFA%,piFC%,piFS%,piKN%,piSB%,piSI%,piSL%,piXX%,pivCH,pivCS,pivCU,pivFA,pivFC,pivFS,pivKN,pivSB,pivSI,pivSL,pivXX,piCH-X,piCS-X,piCU-X,piFA-X,piFC-X,piFS-X,piKN-X,piSB-X,piSI-X,piSL-X,piXX-X,piCH-Z,piCS-Z,piCU-Z,piFA-Z,piFC-Z,piFS-Z,piKN-Z,piSB-Z,piSI-Z,piSL-Z,piXX-Z,piwCH,piwCS,piwCU,piwFA,piwFC,piwFS,piwKN,piwSB,piwSI,piwSL,piwXX,piwCH/C,piwCS/C,piwCU/C,piwFA/C,piwFC/C,piwFS/C,piwKN/C,piwSB/C,piwSI/C,piwSL/C,piwXX/C,piO-Swing%,piZ-Swing%,piSwing%,piO-Contact%,piZ-Contact%,piContact%,piZone%,piPace,Events,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Q,TG,TIP,PlayerNameRoute,PlayerName,positionDB,position,TeamName,TeamNameAbb,teamid,playerTeamId,playerid,EV90
R,121283,Robin Roberts,PHI,1954,27.0,27 - 27,1954,1954,23.0,15.0,2.9673265533552082,45.0,38.0,,29.0,4.0,4.0,,336.2,1331.0,289.0,116.0,111.0,35.0,56.0,,5.0,2.0,0.0,185.0,,,,,,,,,,,,4.945544255592013,1.4970296125035285,3.30357143,7.7257421073842805,0.9356435078147053,0.22755905511811023,1.0247524133208676,0.2419047619047619,0.77740864,3.1938702328875217,,,,,,,,,0.20736289,,,,,,66.42426300048828,7.106080055236816,,9.739450454711914,-0.0752938985824585,2.7086644172668457,2.6333703994750977,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.24832115836793,80.40706056324456,,0.13899324,0.04207363,0.09691961,,2.882486805819104,,-0.22654367953231347,,,,,,,,,,,,,,119.08100754613669,41.53391029162321,286.7079008285598,84.91449310689316,102.85608306178592,88.05199851499758,72.60529571369685,89.04497792145068,108.83720658511878,130.51043900356197,45.520347901150174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.20044,153.0,336.66668701171875,Robin Roberts,Robin Roberts,P,P,PHI,PHI,26,,1011046,
R,114586,Mike Garcia,CLE,1954,30.0,30 - 30,1954,1954,19.0,8.0,2.644329688921294,45.0,34.0,,13.0,5.0,5.0,,258.2,1053.0,220.0,85.0,76.0,6.0,71.0,,2.0,1.0,0.0,129.0,,,,,,,,,,,,4.488401708826934,2.47036063043963,1.81690141,7.65463857319322,0.2087628701779969,0.22448979591836735,1.124999911514761,0.2532544378698225,0.73085032,2.548603861049913,,,,,,,,,0.19563153,,,,,,57.84169387817383,6.537222385406494,,6.665235996246338,-1.0655567646026611,1.1935702562332153,0.12801344692707062,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.24811761986449,70.05794327436172,,0.12250712,0.0674264,0.05508072,,3.3845534566460858,,0.09572582787138106,,,,,,,,,,,,,,107.97795602456999,65.99157102955478,163.62385039545637,87.72964475646782,31.298929575537965,89.56655150939805,81.20327596180188,94.24641226957945,101.56808694660539,114.1353678945259,69.75471909957413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.65812,156.0,258.66668701171875,Mike Garcia,Mike Garcia,P,P,CLE,CLE,5,,1004505,
L,115289,Harvey Haddix,STL,1954,28.0,28 - 28,1954,1954,18.0,13.0,3.569961209379794,43.0,35.0,,13.0,3.0,4.0,,259.2,1087.0,247.0,114.0,103.0,26.0,77.0,,3.0,7.0,0.0,184.0,,,,,,,,,,,,6.377406432290118,2.6688059526431474,2.38961039,8.560974938998148,0.9011552567366471,0.24528301886792453,1.2477534324045882,0.27728983688833125,0.73296628,3.206559753591,,,,,,,,,0.26402944,,,,,,53.350894927978516,5.672638416290283,,4.885435104370117,-0.4200202524662018,-0.367183119058609,-0.7872033715248108,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.26817243934258,78.86364898996302,,0.16927323,0.07083717,0.09843606,,2.864289366924774,,0.3634014557887939,,,,,,,,,,,,,,153.55801995495676,74.04392411280324,207.3877297222793,94.0946303075561,99.06476041815894,94.9101322375537,88.4052633200767,102.07019989662331,102.61527619346116,158.942433072467,76.6402279511414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.69717,153.0,259.66668701171875,Harvey Haddix,Harvey Haddix,P,P,STL,STL,28,,1005184,
R,123486,Virgil Trucks,CHW,1954,37.0,37 - 37,1954,1954,19.0,12.0,2.7884128838901563,40.0,33.0,,16.0,5.0,3.0,,264.2,1090.0,224.0,87.0,82.0,13.0,95.0,,1.0,4.0,0.0,152.0,,,,,,,,,,,,5.168765345747606,3.230478341092254,1.6,7.617127877943841,0.44206545720209794,0.22535211267605634,1.2052895798928995,0.2545235223160434,0.77203446,2.9759162749121373,,,,,,,,,0.23853211,,,,,,50.404998779296875,5.6332597732543945,,7.267258644104004,0.5915044546127319,1.042494773864746,1.6339991092681885,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75074396612108,79.25605485618976,,0.13944954,0.08715596,0.05229358,,3.41799918183493,,-0.187503391021981,,,,,,,,,,,,,,124.3455362087726,86.29685005451574,144.09046053902898,87.29973550114116,66.27699456780488,89.91059716180291,86.99864006046472,94.71869088759495,107.29154977540907,129.9199948943195,90.16556893023913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.70753,155.0,264.66668701171875,Virgil Trucks,Virgil Trucks,P,P,CHW,CHW,4,,1013203,
R,121558,Bob Rush,CHC,1954,28.0,28 - 28,1954,1954,13.0,15.0,3.7700992985755284,33.0,32.0,,11.0,0.0,0.0,,236.1,1007.0,213.0,102.0,99.0,12.0,103.0,,5.0,8.0,0.0,124.0,,,,,,,,,,,,4.722144575993591,3.9224265429624183,1.2038835,8.111425763601895,0.4569817331606701,0.23692992213570635,1.337094700729368,0.2634338138925295,0.7199211,3.3794951408590954,,,,,,,,,0.23733863,,,,,,46.63254165649414,4.968499660491943,,4.941174030303955,-0.5369986891746521,0.5096733570098877,-0.027325347065925598,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.51170220591695,81.60447018760738,,0.12313803,0.10228401,0.02085402,,3.7952738554499,,0.390604157716433,,,,,,,,,,,,,,113.70189100057466,108.82464234520867,104.48174565505413,89.15358518531359,50.2363888715202,91.67797405918917,94.73523056078452,96.96980727919302,100.78895215700412,115.62288191937151,110.66323459068161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.53463,154.0,236.3332977294922,Bob Rush,Bob Rush,P,P,CHC,CHC,17,,1011307,
L,122241,Curt Simmons,PHI,1954,25.0,25 - 25,1954,1954,14.0,15.0,2.8102766798418974,34.0,33.0,,21.0,3.0,1.0,,253.0,1074.0,226.0,101.0,79.0,14.0,98.0,,5.0,2.0,0.0,125.0,,,,,,,,,,,,4.446640316205533,3.486166007905138,1.2755102,8.039525691699605,0.4980237154150198,0.23274974253347064,1.2806324110671936,0.2548076923076923,0.73691015,3.3503998469929455,,,,,,,,,0.22067039,,,,,,46.44009780883789,4.914775848388672,,5.728708267211914,-0.37479838728904724,1.1887309551239014,0.8139325976371765,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.31862577876355,84.32373803366102,,0.11638734,0.09124767,0.02513967,,3.743846139961115,,-0.540123167151048,,,,,,,,,,,,,,107.06817726892244,96.72093659650099,110.69803122000125,88.3633234764615,54.748168732669775,90.06048989474913,90.73478988428037,93.79453780528334,103.16741826029707,109.2841829206505,98.72278603143135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.65359,153.0,253.0,Curt Simmons,Curt Simmons,P,P,PHI,PHI,26,,1011980,
L,110287,Johnny Antonelli,NYG,1954,24.0,24 - 24,1954,1954,21.0,7.0,2.296391571957966,39.0,37.0,,18.0,6.0,2.0,,258.2,1071.0,209.0,78.0,66.0,22.0,94.0,,5.0,2.0,0.0,152.0,,,,,,,,,,,,5.288659377842588,3.270618299455285,1.61702128,7.2719066445335585,0.765463857319322,0.21502057613168724,1.1713916604432049,0.23433583959899748,0.82972583,3.476438839618788,,,,,,,,,0.25023343,,,,,,45.440086364746094,4.766334533691406,,9.012837409973145,1.7045352458953857,2.5419676303863525,4.246502876281738,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.71970620507722,86.35013063701162,,0.14192344,0.08776844,0.054155,,3.3956621736371555,,-1.180047267660822,,,,,,,,,,,,,,127.34268560426243,90.74073479451421,140.33684021712008,79.92633692121522,84.14808998474174,83.20034305123318,82.99491350054218,86.25886278134726,116.16161329049133,133.26180614091408,94.95853135225764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.67965,154.0,258.66668701171875,Johnny Antonelli,Johnny Antonelli,P,P,NYG,NYG,30,,1000277,
R,124633,Early Wynn,CLE,1954,34.0,34 - 34,1954,1954,23.0,11.0,2.7266007802727774,40.0,36.0,,20.0,3.0,2.0,,270.2,1102.0,225.0,93.0,82.0,21.0,83.0,,0.0,2.0,0.0,155.0,,,,,,,,,,,,5.1539404992961035,2.759852009300494,1.86746988,7.4815265312362795,0.6982758095820528,0.22080471050049066,1.1379309489485305,0.24199288256227758,0.77171572,3.1810818496853557,,,,,,,,,0.23502722,,,,,,42.72514724731445,4.683413028717041,,6.611135482788086,-0.10109785944223404,2.028820514678955,1.927722692489624,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.52703261343564,87.57762786499337,,0.14065336,0.0753176,0.06533575,,3.261493079502224,,-0.45448106941257826,,,,,,,,,,,,,,123.98889330511642,73.72485120538913,168.1778718174217,85.74561144140907,104.68952342806945,88.0962824864942,82.13664723628752,90.05552348105958,107.24725396245194,131.04154586861563,77.91841638101634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.73504,156.0,270.66668701171875,Early Wynn,Early Wynn,P,P,CLE,CLE,5,,1014309,
L,122557,Warren Spahn,MIL,1954,33.0,33 - 33,1954,1954,21.0,12.0,3.144706108161916,39.0,34.0,,23.0,1.0,3.0,,283.1,1175.0,262.0,107.0,99.0,24.0,86.0,,1.0,3.0,1.0,136.0,,,,,,,,,,,,4.320000310202228,2.7317649020396444,1.58139535,8.322353538771939,0.7623529959180403,0.24080882352941177,1.2282353823123981,0.25646551724137934,0.76727964,3.4601836944923328,,,,,,,,,0.2093617,,,,,,40.7998161315918,4.2162065505981445,,6.290692329406738,0.8220430612564087,1.2524425983428955,2.0744857788085938,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.53743198897797,92.43831510360853,,0.11574468,0.07319149,0.04255319,,3.534883819742406,,-0.31547758633041667,,,,,,,,,,,,,,104.01888304949031,75.79067069313035,137.24496366637356,91.4719158856886,83.80611035680498,93.17888123944222,87.02237923971056,94.40478203303407,107.41914759892795,108.68074747008052,79.1874197937769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.83983,154.0,283.33331298828125,Warren Spahn,Warren Spahn,P,P,MIL,MIL,16,,1012299,
L,119173,Paul Minner,CHC,1954,30.0,30 - 30,1954,1954,11.0,11.0,3.963302752293578,32.0,29.0,,12.0,0.0,1.0,,218.0,913.0,236.0,107.0,96.0,19.0,50.0,,1.0,1.0,0.0,79.0,,,,,,,,,,,,3.261467889908257,2.0642201834862384,1.58,9.743119266055047,0.7844036697247706,0.2737819025522042,1.311926605504587,0.28403141361256545,0.69124424,3.507922420151737,,,,,,,,,0.16210296,,,,,,39.928096771240234,4.212255954742432,,3.1631906032562256,-0.29891589283943176,-0.7501493692398071,-1.0490652322769165,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.15008758602882,84.68772363476292,,0.08652793,0.05476451,0.03176342,,3.6643611099477145,,0.45538033214184104,,,,,,,,,,,,,,78.53107005775975,57.27016700738332,137.12386524161587,107.08771044354475,86.23015959958833,105.93752757695178,92.95203203146957,104.55176969226684,96.77419115272349,81.24710354513104,59.250883686016174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.41558,154.0,218.0,Paul Minner,Paul Minner,P,P,CHC,CHC,17,,1008980,
